DEPARTAMENTO,period,MONTO_DEVENGADO
APURIMAC,2021-08-01,829751.9500000001
APURIMAC,2021-09-01,1202988.31
APURIMAC,2021-10-01,461945.25
APURIMAC,2021-11-01,404534.76
APURIMAC,2021-12-01,1825088.25
APURIMAC,2022-01-01,122695.71999999999
APURIMAC,2022-02-01,426212.01
APURIMAC,2022-03-01,1073847.25
APURIMAC,2022-04-01,532615.24
APURIMAC,2022-05-01,665833.08
APURIMAC,2022-06-01,568998.38
APURIMAC,2022-07-01,701687.74
APURIMAC,2022-08-01,755630.8099999999
APURIMAC,2022-09-01,637858.79
APURIMAC,2022-10-01,533072.78
APURIMAC,2022-11-01,769684.6799999999
APURIMAC,2022-12-01,1527185.77
APURIMAC,2023-01-01,20227.19
APURIMAC,2023-02-01,521734.85
APURIMAC,2023-03-01,725256.61
APURIMAC,2023-04-01,677017.48
APURIMAC,2023-05-01,972976.35
APURIMAC,2023-06-01,892780.95
APURIMAC,2023-07-01,1797668.1
APURIMAC,2023-08-01,1033682.86
APURIMAC,2023-09-01,1186514.62
APURIMAC,2023-10-01,1036856.5800000001
APURIMAC,2023-11-01,991372.98
APURIMAC,2023-12-01,1939628.1199999999
APURIMAC,2024-01-01,172105.36
APURIMAC,2024-02-01,1118215.64
APURIMAC,2024-03-01,1097149.23
APURIMAC,2024-04-01,1091629.08
APURIMAC,2024-05-01,1163606.23
APURIMAC,2024-06-01,1026426.64
APURIMAC,2024-07-01,949096.85
APURIMAC,2024-08-01,1168590.3800000001
APURIMAC,2024-09-01,830251.86
APURIMAC,2024-10-01,924584.22
APURIMAC,2024-11-01,866545.89
APURIMAC,2024-12-01,2823088.34
APURIMAC,2025-01-01,577074.1
APURIMAC,2025-02-01,535092.76
APURIMAC,2025-03-01,896305.95
APURIMAC,2025-04-01,1157221.97
APURIMAC,2025-05-01,1745622.49
APURIMAC,2025-06-01,1323713.03
APURIMAC,2025-07-01,1521924.15
APURIMAC,2025-08-01,1547729.19
AREQUIPA,2019-01-01,1378121.19
AREQUIPA,2019-02-01,2450470.1
AREQUIPA,2019-03-01,3239159.15
AREQUIPA,2019-04-01,4418767.0200000005
AREQUIPA,2019-05-01,2934762.09
AREQUIPA,2019-06-01,2687754.08
AREQUIPA,2019-07-01,9383209.2
AREQUIPA,2019-08-01,2465049.37
AREQUIPA,2019-09-01,3223285.0
AREQUIPA,2019-10-01,3024801.39
AREQUIPA,2019-11-01,7399851.3100000005
AREQUIPA,2019-12-01,6385313.29
AREQUIPA,2020-01-01,2749308.28
AREQUIPA,2020-02-01,3218359.08
AREQUIPA,2020-03-01,2728088.2600000002
AREQUIPA,2020-04-01,1790965.17
AREQUIPA,2020-05-01,2547593.86
AREQUIPA,2020-06-01,2349490.54
AREQUIPA,2020-07-01,4667072.18
AREQUIPA,2020-08-01,3351892.59
AREQUIPA,2020-09-01,6416873.42
AREQUIPA,2020-10-01,4557129.4399999995
AREQUIPA,2020-11-01,3948580.95
AREQUIPA,2020-12-01,11072918.98
AREQUIPA,2021-01-01,2517345.58
AREQUIPA,2021-02-01,3108758.11
AREQUIPA,2021-03-01,4787836.32
AREQUIPA,2021-04-01,4454194.43
AREQUIPA,2021-05-01,3573839.96
AREQUIPA,2021-06-01,3809007.98
AREQUIPA,2021-07-01,5727038.93
AREQUIPA,2021-08-01,3773007.18
AREQUIPA,2021-09-01,6483624.03
AREQUIPA,2021-10-01,3663731.66
AREQUIPA,2021-11-01,4328336.66
AREQUIPA,2021-12-01,12207292.290000001
AREQUIPA,2022-01-01,2890716.94
AREQUIPA,2022-02-01,4423295.54
AREQUIPA,2022-03-01,4015702.56
AREQUIPA,2022-04-01,5812654.5
AREQUIPA,2022-05-01,9888093.01
AREQUIPA,2022-06-01,5700868.62
AREQUIPA,2022-07-01,8219286.2
AREQUIPA,2022-08-01,18399103.25
AREQUIPA,2022-09-01,4999005.85
AREQUIPA,2022-10-01,6077407.2
AREQUIPA,2022-11-01,7238133.37
AREQUIPA,2022-12-01,10037727.57
AREQUIPA,2023-01-01,2836119.05
AREQUIPA,2023-02-01,17468358.909999996
AREQUIPA,2023-03-01,14274455.99
AREQUIPA,2023-04-01,4119217.65
AREQUIPA,2023-05-01,14985641.21
AREQUIPA,2023-06-01,14269825.489999998
AREQUIPA,2023-07-01,22508378.24
AREQUIPA,2023-08-01,5822597.4
AREQUIPA,2023-09-01,4929763.06
AREQUIPA,2023-10-01,6939481.86
AREQUIPA,2023-11-01,1305421.7899999998
AREQUIPA,2023-12-01,26131705.92
AREQUIPA,2024-01-01,3738337.66
AREQUIPA,2024-02-01,5216523.899999999
AREQUIPA,2024-03-01,5827995.18
AREQUIPA,2024-04-01,6254994.600000001
AREQUIPA,2024-05-01,11433058.61
AREQUIPA,2024-06-01,6411063.1
AREQUIPA,2024-07-01,25678093.560000002
AREQUIPA,2024-08-01,15205414.030000001
AREQUIPA,2024-09-01,8054254.75
AREQUIPA,2024-10-01,10067557.96
AREQUIPA,2024-11-01,16491042.879999999
AREQUIPA,2024-12-01,24539111.16
AREQUIPA,2025-01-01,5071495.91
AREQUIPA,2025-02-01,7538446.89
AREQUIPA,2025-03-01,11364895.57
AREQUIPA,2025-04-01,6621461.850000001
AREQUIPA,2025-05-01,8322418.600000001
AREQUIPA,2025-06-01,9882249.36
AREQUIPA,2025-07-01,21614568.74
AREQUIPA,2025-08-01,15235958.69
AYACUCHO,2019-01-01,218809.85
AYACUCHO,2019-02-01,760315.69
AYACUCHO,2019-03-01,1252445.98
AYACUCHO,2019-04-01,1193715.15
AYACUCHO,2019-05-01,1712814.08
AYACUCHO,2019-06-01,1340588.27
AYACUCHO,2019-07-01,1238699.21
AYACUCHO,2019-08-01,1229240.63
AYACUCHO,2019-09-01,1650895.08
AYACUCHO,2019-10-01,1126282.91
AYACUCHO,2019-11-01,1245694.63
AYACUCHO,2019-12-01,1966891.06
AYACUCHO,2020-01-01,410063.62
AYACUCHO,2020-02-01,797231.72
AYACUCHO,2020-03-01,1199463.73
AYACUCHO,2020-04-01,449611.14
AYACUCHO,2020-05-01,1395512.84
AYACUCHO,2020-06-01,1136843.6300000001
AYACUCHO,2020-07-01,1483643.95
AYACUCHO,2020-08-01,2333793.44
AYACUCHO,2020-09-01,4646167.16
AYACUCHO,2020-10-01,1672963.56
AYACUCHO,2020-11-01,2022131.28
AYACUCHO,2020-12-01,4609585.88
AYACUCHO,2021-01-01,541085.36
AYACUCHO,2021-02-01,1127868.1
AYACUCHO,2021-03-01,1959106.96
AYACUCHO,2021-04-01,1170345.27
AYACUCHO,2021-05-01,2032514.06
AYACUCHO,2021-06-01,1671290.16
AYACUCHO,2021-07-01,2626663.17
AYACUCHO,2021-08-01,2241630.9
AYACUCHO,2021-09-01,2185183.94
AYACUCHO,2021-10-01,1888333.31
AYACUCHO,2021-11-01,1469696.45
AYACUCHO,2021-12-01,5407984.78
AYACUCHO,2022-01-01,503356.66000000003
AYACUCHO,2022-02-01,873620.22
AYACUCHO,2022-03-01,4586397.53
AYACUCHO,2022-04-01,1164399.87
AYACUCHO,2022-05-01,1625950.03
AYACUCHO,2022-06-01,2016403.55
AYACUCHO,2022-07-01,1661024.87
AYACUCHO,2022-08-01,1428553.09
AYACUCHO,2022-09-01,1387007.8
AYACUCHO,2022-10-01,1813901.8800000001
AYACUCHO,2022-11-01,3375507.4899999998
AYACUCHO,2022-12-01,4381859.4
AYACUCHO,2023-01-01,193708.71
AYACUCHO,2023-02-01,1654158.08
AYACUCHO,2023-03-01,2242704.74
AYACUCHO,2023-04-01,1881238.88
AYACUCHO,2023-05-01,2009115.62
AYACUCHO,2023-06-01,1959521.83
AYACUCHO,2023-07-01,2027653.92
AYACUCHO,2023-08-01,1944840.71
AYACUCHO,2023-09-01,1772931.89
AYACUCHO,2023-10-01,2064205.08
AYACUCHO,2023-11-01,2143641.83
AYACUCHO,2023-12-01,8231578.62
AYACUCHO,2024-01-01,812586.59
AYACUCHO,2024-02-01,1364499.1400000001
AYACUCHO,2024-03-01,1998095.06
AYACUCHO,2024-04-01,2234381.95
AYACUCHO,2024-05-01,2412187.58
AYACUCHO,2024-06-01,1782946.87
AYACUCHO,2024-07-01,2878589.12
AYACUCHO,2024-08-01,1892168.59
AYACUCHO,2024-09-01,2115561.36
AYACUCHO,2024-10-01,2568168.9
AYACUCHO,2024-11-01,3195858.01
AYACUCHO,2024-12-01,7273218.55
AYACUCHO,2025-01-01,1150591.03
AYACUCHO,2025-02-01,1377462.9200000002
AYACUCHO,2025-03-01,1968581.29
AYACUCHO,2025-04-01,2424107.04
AYACUCHO,2025-05-01,3104273.42
AYACUCHO,2025-06-01,2701602.4
AYACUCHO,2025-07-01,2475939.31
AYACUCHO,2025-08-01,1766014.52
CAJAMARCA,2019-01-01,180798.5
CAJAMARCA,2019-02-01,810083.86
CAJAMARCA,2019-03-01,865647.81
CAJAMARCA,2019-04-01,736503.74
CAJAMARCA,2019-05-01,1131820.27
CAJAMARCA,2019-06-01,1027514.6900000001
CAJAMARCA,2019-07-01,1700183.28
CAJAMARCA,2019-08-01,1017426.23
CAJAMARCA,2019-09-01,1043249.0599999999
CAJAMARCA,2019-10-01,941213.11
CAJAMARCA,2019-11-01,950240.92
CAJAMARCA,2019-12-01,2928898.16
CAJAMARCA,2020-01-01,830985.51
CAJAMARCA,2020-02-01,755794.62
CAJAMARCA,2020-04-01,1653623.85
CAJAMARCA,2020-05-01,1335537.94
CAJAMARCA,2020-06-01,1315915.32
CAJAMARCA,2020-07-01,2193094.9
CAJAMARCA,2020-08-01,1300602.3
CAJAMARCA,2020-09-01,2190417.07
CAJAMARCA,2020-10-01,1707673.67
CAJAMARCA,2020-12-01,4737671.46
CAJAMARCA,2021-01-01,1830515.42
CAJAMARCA,2021-02-01,2808297.14
CAJAMARCA,2021-03-01,2796169.38
CAJAMARCA,2021-04-01,3662403.62
CAJAMARCA,2021-05-01,2806058.11
CAJAMARCA,2021-06-01,3014447.9
CAJAMARCA,2021-07-01,3062460.27
CAJAMARCA,2021-08-01,3314059.88
CAJAMARCA,2021-09-01,3522024.32
CAJAMARCA,2021-10-01,1619657.66
CAJAMARCA,2021-11-01,1273149.3
CAJAMARCA,2021-12-01,3272923.4499999997
CAJAMARCA,2022-01-01,2675960.96
CAJAMARCA,2022-02-01,1094888.51
CAJAMARCA,2022-03-01,1375280.48
CAJAMARCA,2022-04-01,1167677.87
CAJAMARCA,2022-05-01,2337073.49
CAJAMARCA,2022-06-01,1586836.07
CAJAMARCA,2022-07-01,1902351.48
CAJAMARCA,2022-08-01,1512810.07
CAJAMARCA,2022-09-01,1461733.18
CAJAMARCA,2022-10-01,1244347.55
CAJAMARCA,2022-11-01,1582043.9100000001
CAJAMARCA,2022-12-01,2913095.49
CAJAMARCA,2023-01-01,265854.46
CAJAMARCA,2023-02-01,985785.13
CAJAMARCA,2023-03-01,1541696.37
CAJAMARCA,2023-04-01,1364135.99
CAJAMARCA,2023-05-01,2604410.29
